"","category","key","sentences"
"192","4","플랫폼","등 생활가전에 시범적으로 아마존의 인공지능 플랫폼 알렉사 연동 서비스를 지원하고 곧"
"193","4","플랫폼","스피커인 씽크 허브에 네이버 AI 플랫폼 클로바를 탑재해 재출시했습니다 . ?"
"194","4","플랫폼","2017 ' 에서 자사 AI 플랫폼 ' 클로바 ' 를 처음"
"195","4","플랫폼","될 것으로 보인다 카카오는 AI 플랫폼 ' 카카오 아이 ( I"
"196","4","플랫폼","인증마크를 부여하고 있습니다 . 인공지능 플랫폼 카카오 i 의 최대 무기는"
"197","4","플랫폼","패밀리 허브 등의 시도와는 달리 플랫폼 서열을 명확하게 나누고 있다 ."
"198","4","플랫폼",". 삼성은 스마트폰 경쟁에서 안드로이드의 플랫폼 역량에 호되게 당한 경험이 있다"
"199","4","플랫폼","삼성은 수년 동안 들은 ' 플랫폼 역량이 부족하다 . ' 라는"
"200","4","플랫폼",". 영원한 오명으로 남을지 아니면 플랫폼 역량까지 갖춘 다른 존재가 될지"
"201","4","플랫폼","? 네이버의 ? 인공지능 ? 플랫폼 ? ' 클로바 ' 가"
"202","4","플랫폼","? 파트너십 ? 오픈 ? 플랫폼 ? 오픈 ? 커넥티비티 ?"
"203","4","플랫폼","? 네이버의 ? 인공지능 ? 플랫폼 ? ' 클로바 ( Clova"
"204","4","플랫폼","독자적으로 ? 개발한 인공지능 ? 플랫폼 ? ' 딥씽큐 ' 가"
"205","4","플랫폼","LG 전자는 최근 네이버의 인공지능 플랫폼 ' 클로바 ( Clova )"
"206","4","플랫폼","? 네이버 ? 인공지능 ? 플랫폼 ? ' 클로바 ' 가"
"207","4","플랫폼","아마존 에코는 아마존의 음성인식 인공지능 플랫폼 ' 알렉사 ' 를 탑재한"
"208","4","플랫폼","V30 에 구글의 음성인식 AI 플랫폼 ' 구글 어시스턴트 ' 한국어"
"209","4","플랫폼","전자가 네이버의 ? 인공지능 ? 플랫폼 ? ' 클로바 ' 를"
"210","4","플랫폼","생활정보 뉴스 등 네이버 인공지능 플랫폼 ' 클로바 ' 가 제공하는"
"211","4","플랫폼","검색 팟캐스트 등 네이버 인공지능 플랫폼 ' 클로바 ' 가 제공하는"
"212","4","플랫폼","있고 작년 말에는 네이버 인공지능 플랫폼 클로바까지 지원하는 LG 씽큐 허브를"
"213","4","플랫폼","검색 팟캐스트 등 네이버 인공지능 플랫폼 클로바가 제공하는 다양한 콘텐츠도 이용할"
"214","4","플랫폼","? 기업들은 ? 인공지능 ? 플랫폼 ? 시장 ? 선점을 ?"
"215","4","플랫폼","7 종에 구글 음성인식 인공지능 플랫폼 ! 구글 어시스턴트 ( Google"
"216","4","플랫폼","있습니다 . 구글 음성인식 인공지능 플랫폼 구글 어시스턴트는 LG 전자가 31"
"217","4","플랫폼","인공지능 관련주 영세성 + 글로벌 플랫폼 부재 + 원천기술과 역량 부족"
"218","4","플랫폼",": ? 인공지능 기반인 빅데이터 플랫폼 ? 보유 . 진정한 AI"
"219","4","플랫폼","내부에서는 음성인식 스피커 외부에서는 스마트폰이 플랫폼 될 것 . 스마트폰 스마트"
"220","4","플랫폼","가전과 인공지능 가전을 활용한 스마트홈 플랫폼 등 ' 제 4 차"
"221","4","플랫폼","인공지능과 결합된 자율주행 전기차 기반의 플랫폼 커넥티비티를 위한 이종산업간 합종연횡이다 ."
"222","4","플랫폼","통신 기술 . BMW 자율주행 플랫폼 iNext 위해 Intel 과 협력"
"223","4","플랫폼","적용 중 . Amazon 의 플랫폼 Alexa 인공지능 / 음성인식 플랫폼"
"224","4","플랫폼","플랫폼 Alexa 인공지능 / 음성인식 플랫폼 스마트홈 로봇과 자율주행차에 반드시 필요"
"225","4","플랫폼","제휴 ? ▣ 주요기업 인공지능 플랫폼 ? 구글 페이스북 아마존 IBM"
"226","4","플랫폼",". 키움증권 ) ▣ 인공지능 플랫폼 / 게임 산업의 멀지않은 미래"
"227","4","플랫폼","LG 전자와 네이버가 협업하여 인공지능 플랫폼 ' 클로바 ' 가 탑재된"
"228","4","플랫폼","카카오와 제휴 계약을 체결하여 인공지능 플랫폼 ' 빅스비 ' 를 탑재한"
"229","4","플랫폼","와 LG 전자의 독자 AI 플랫폼 ' 딥씽큐 ( DeepThinQ )"
"230","4","플랫폼","LG 는 독자적인 음성인식 인공지능 플랫폼 개발에 성공해내지 못했다 . 성공해내지"
"231","4","플랫폼",". LG 전자의 자체 AI 플랫폼 ' 딥씽큐 ' 를 탑재한"
"232","4","플랫폼",") LG 전자의 기존 스마트홈 플랫폼 브랜드 ' 스마트 씽큐 ("
