,Unnamed: 0,brand,category,words,emotion,sim
460,258,0,4,반응 ,999,0.5021019577980042
461,4032,0,2,저음 ,999,0.5020135641098022
462,4096,0,2,밝기 ,999,0.5018224716186523
463,2090,0,0,조작 ,999,0.5008383393287659
464,2314,0,0,어댑터 ,999,0.500654399394989
465,3353,0,7,외출 ,999,0.5000051856040955
466,4260,0,3,유선 ,999,0.49981963634490967
467,889,0,8,집안일 ,999,0.4997395873069763
468,3629,0,7,기온 ,999,0.4996795356273651
469,664,0,8,말 ,999,0.49887484312057495
470,3906,0,7,친절 ,999,0.4983064532279968
471,37,0,4,출시 ,999,0.498091459274292
472,287,0,4,단자 ,999,0.49764007329940796
473,3500,0,7,맛집 ,999,0.4975142776966095
474,2091,0,0,하단 ,999,0.49750781059265137
475,3538,0,7,쥴 ,999,0.4974018335342407
476,1677,0,5,사물 ,999,0.49712905287742615
477,1617,0,5,가전 ,999,0.49704495072364807
478,2723,0,1,선물 ,999,0.49658796191215515
479,3288,0,7,하루 ,999,0.49648696184158325
480,2062,0,0,사이즈 ,999,0.49640223383903503
481,2121,0,0,침실 ,999,0.4963012635707855
482,1585,0,5,어시 ,999,0.4957009553909302
483,259,0,4,얘기 ,999,0.4955136179924011
484,725,0,8,필수 ,999,0.4954833388328552
485,2092,0,0,후면 ,999,0.495299756526947
486,260,0,4,뭐 ,999,0.49459195137023926
487,3411,0,7,중국어 ,999,0.49444159865379333
488,1105,0,8,일상 ,999,0.49441683292388916
489,2657,0,0,그레이 ,999,0.4942151606082916
490,2568,0,0,청색 ,999,0.4940795302391052
491,1268,0,5,등록 ,999,0.49310052394866943
492,3126,0,6,무제한 ,999,0.49278149008750916
493,3034,0,6,정기 ,999,0.4927341043949127
494,2093,0,0,오른쪽 ,999,0.4926242530345917
495,261,0,4,응답 ,999,0.4925549626350403
496,2940,0,1,날짜 ,999,0.4921908378601074
497,4288,0,3,품 ,999,0.49211737513542175
498,631,0,8,연계 ,999,0.4917276203632355
499,2438,0,0,메탈 ,999,0.4916546940803528
500,4190,0,3,완충 ,999,0.49124014377593994
501,632,0,8,컨텐츠 ,999,0.4907975196838379
502,1269,0,5,선택 ,999,0.4907456636428833
503,3782,0,7,장보기 ,999,0.49044162034988403
504,1270,0,5,앱 ,999,0.48980119824409485
505,511,0,4,바 ,999,0.48966556787490845
506,2315,0,0,충전기 ,999,0.48951807618141174
507,38,0,4,등장 ,999,0.48948776721954346
508,1391,0,5,기기 ,999,0.4894624650478363
509,1586,0,5,아마존 ,999,0.48899561166763306
510,2187,0,0,마그넷 ,999,0.4888707399368286
511,1649,0,5,정식 ,999,0.4888586103916168
512,262,0,4,발음 ,999,0.4887884259223938
513,3154,0,6,차트 ,999,0.4887106120586395
514,39,0,4,최근 ,999,0.48823487758636475
